Height_cm,Weight_kg
170.0,64.3
163.6,66.7
171.5,73.0
180.2,72.6
162.7,43.5
162.7,48.7
180.8,66.2
172.7,66.2
160.3,66.2
170.4,106.2
160.4,66.9
160.3,73.6
167.4,71.4
145.9,67.8
147.8,56.2
159.4,69.1
154.9,50.7
168.1,57.2
155.9,54.2
150.9,61.0
179.7,87.8
162.7,37.6
165.7,68.2
150.8,40.6
159.6,54.3
166.1,73.1
153.5,60.8
168.8,47.1
159.0,51.4
162.1,68.2
159.0,51.2
183.5,62.6
164.9,60.5
154.4,52.2
173.2,85.7
152.8,67.6
167.1,35.7
145.4,62.2
151.7,52.1
167.0,70.2
172.4,50.5
166.7,58.6
163.8,66.1
162.0,70.4
150.2,45.6
157.8,56.0
160.4,54.3
175.6,52.2
168.4,81.2
147.4,64.9
168.2,44.9
161.1,71.0
158.2,85.5
171.1,72.4
175.3,41.8
174.3,54.2
156.6,75.2
161.9,51.5
168.3,65.3
174.8,69.3
160.2,48.9
163.1,59.3
153.9,21.1
153.0,47.7
173.1,57.0
178.6,45.0
164.3,79.6
175.0,42.8
168.6,54.7
158.5,61.6
168.6,77.3
180.4,42.8
164.6,74.0
180.6,60.1
138.8,48.2
173.2,65.5
165.9,62.4
162.0,52.8
165.9,60.8
145.1,55.4
162.8,61.4
168.6,67.9
179.8,79.0
159.8,45.1
156.9,85.6
160.0,36.6
174.2,58.2
168.3,67.1
159.7,63.4
170.1,52.5
166.0,57.5
174.7,54.1
158.0,52.9
161.7,70.2
161.1,64.3
150.4,51.7
168.0,70.8
167.6,63.7
165.1,69.8
162.7,67.6
150.8,50.1
160.8,53.3
161.6,69.0
157.0,67.3
163.4,59.7
169.0,61.4
183.9,75.3
166.7,52.9
167.6,66.6
164.3,57.6
145.8,57.4
164.7,73.2
165.6,69.9
189.6,69.8
163.1,75.7
168.0,60.3
164.7,68.2
153.3,56.3
176.4,63.9
172.5,58.4
172.9,61.2
155.9,67.1
179.0,50.2
151.0,85.1
170.9,47.9
186.9,45.4
155.1,73.9
159.3,69.5
166.0,67.5
160.0,67.5
149.5,59.9
165.7,49.2
154.4,60.9
169.7,51.9
155.8,71.7
180.5,58.2
157.2,50.1
161.8,56.1
173.1,65.0
152.7,53.2
167.3,50.1
178.1,62.9
148.9,62.9
166.8,53.9
167.6,54.3
172.8,62.8
152.6,42.6
151.8,43.1
170.2,51.4
168.0,57.4
167.5,63.7
168.5,77.7
158.2,70.3
167.3,58.1
167.9,59.8
157.9,48.0
183.7,59.8
169.7,56.5
153.1,63.9
171.6,50.1
155.3,66.2
172.9,78.4
176.6,58.7
156.8,64.8
174.6,68.3
169.1,55.2
173.2,62.7
184.0,60.2
162.5,61.2
157.5,50.7
156.1,60.3
156.8,66.0
164.2,77.4
168.4,71.5
167.8,85.8
173.3,50.8
165.1,70.5
179.5,62.2
162.4,86.3
192.2,50.3
171.3,49.9
156.4,52.8
154.3,34.5
169.8,53.7
162.8,50.9
172.1,61.8
169.7,64.1
164.3,82.5
156.5,71.4
149.9,53.1
160.5,49.2
173.6,65.9
167.1,44.2
152.5,82.0
166.7,74.2
168.9,54.4
156.2,39.4
166.5,76.2
165.6,58.6
153.6,74.9
